time,total_cab_power
33660.0,21091.814691
33720.0,20244.617518
33780.0,18222.257013
33840.0,19033.891512000002
33900.0,13443.503526
33960.0,19759.906358
34020.0,20938.180053
34080.0,21247.276108000002
34140.0,21590.006927000002
34200.0,40535.418793
34260.0,21209.05255
34320.0,21123.032904
34380.0,21267.583903
34440.0,20168.013369
34500.0,19152.581977
34560.0,18024.091786
34620.0,13853.718488999999
34680.0,20063.6
34740.0,21350.251456
34800.0,21482.114016
34860.0,21393.405454
34920.0,21123.321476999998
34980.0,21494.82
35040.0,21455.131017
35100.0,21083.910721
35160.0,20342.77617
35220.0,18140.622295
35280.0,17756.1328
35340.0,16551.738815
35400.0,19098.895637999998
35460.0,21175.88
35520.0,21196.545395999998
35580.0,21184.31455
35640.0,21913.006970000002
35700.0,21315.052426
35760.0,20562.680049
35820.0,20865.5838
35880.0,18900.3026
35940.0,17077.256892999998
36000.0,13069.26494
36060.0,10889.295386
36120.0,10728.05733
36180.0,10298.793191
36240.0,10465.811974
36300.0,10346.698861
36360.0,10310.583802
36420.0,10406.849801
36480.0,10409.944108
36540.0,10604.31459
36600.0,10407.314599
36660.0,10451.151708
36720.0,8131.795400999999
36780.0,9682.472492
36840.0,10293.11394
36900.0,10372.491324
36960.0,10386.449244
37020.0,10199.434679
37080.0,10449.962976
37140.0,10258.180009
37200.0,10294.604532
37260.0,10329.17999
37320.0,10482.359246
37380.0,10466.076245
37440.0,8301.963029
37500.0,7432.340373
37560.0,7225.795388
37620.0,7218.378097
37680.0,7221.434706999999
37740.0,7223.755443999999
37800.0,7219.07623
37860.0,7214.237692
37920.0,7210.88751
37980.0,7209.547912999999
38040.0,7214.113947
38100.0,7212.321503
38160.0,7210.122309
38220.0,7209.547922
38280.0,7208.887547
38340.0,7210.132813
38400.0,7211.833849
38460.0,7210.0196209999995
38520.0,7211.472423
38580.0,7211.718457
38640.0,7738.321526
38700.0,7292.604526
38760.0,7259.314622
38820.0,7268.321504
38880.0,10495.189868
38940.0,11636.359251
39000.0,22942.36
39060.0,23239.013328
39120.0,23197.76
39180.0,23294.984159
39240.0,24397.486086
39300.0,24180.146091
39360.0,23513.245669
39420.0,28831.27336
39480.0,30350.967152999998
39540.0,29651.098664
39600.0,29019.93952
39660.0,29298.16954
39720.0,28921.702897
39780.0,30045.141906
39840.0,28563.700194999998
